"","MEcyan","MElightyellow","MEturquoise","MEsalmon","MEred","MEblack","MEmidnightblue","MEmagenta","MEblue","MEgreenyellow","MElightcyan","MEgreen","MEpink","MElightgreen","MEpurple","MEyellow","MEtan","MEbrown","MEgrey60","MEgrey"
"TyG.BMI_InsulinResistence",-0.0244238434678596,-0.0512208454822409,-0.0146481282460801,0.0232754088133138,0.0794548643875286,-0.00681374095881053,-0.0426771031930779,0.0780615583262009,0.0505127639663274,-0.0123680038730076,0.0245093522978444,-0.064828745696951,-0.0011279774281348,0.0686162316681165,0.0129485707650671,0.0857839402814915,-0.290293918611662,0.110551813723473,-0.0310191014527808,0.10003847928874
"TG.HDL.C_InsulinResistence",0.0183846048939547,-0.000153907246501224,0.0349541107096872,0.056732402521435,0.0274701359290188,0.0102068773150177,-0.018000815437839,0.0283755937276733,0.0673445962619447,0.0145534903428319,0.066207178681619,-0.0613966815889704,0.0115567641217696,0.0349767578497393,-0.00365132800082109,0.00544039506524966,-0.165464552187184,0.0709453240444078,-0.0364649223302776,0.0625240249937926
"METS.IR_InsulinResistence",-0.0154173587472735,-0.0414183485517553,-0.00763809104926214,0.0339477671684241,0.075197522150944,-0.0186266703222272,-0.0402454804923791,0.0699349839319913,0.0493070125178964,-0.00917271830728389,0.0233591031025876,-0.0608322636616859,0.0111400665361654,0.0703864027107495,0.0209453028771739,0.0862714838935527,-0.304017055455571,0.0981957315207567,-0.0326965207026644,0.0972251393859925
"red_cell_counts_BloodRoutine",0.00287883138775214,0.00109208378813058,0.00115911016187533,0.0109177528729014,0.000359875025784761,0.00180651169284518,-0.0165408540223102,0.0179300485079848,0.038629406502273,0.0192398875143175,0.0264274047002775,-0.0426671755336904,-0.00539013561735202,0.0218429242753752,-0.0108661681349047,0.0442332336776757,-0.0540662397074812,0.026876573682955,-0.0397207733716116,0.0555346180655668
"Hb_BloodRoutine",-0.00511413137857953,0.0132849540514915,-0.0125145028658857,0.0320300523320987,0.0276370798888937,-0.00983029118973523,-0.0495908302732093,0.0252493378731857,0.0553210722840355,0.0182276581602566,0.0440308295559802,-0.0578385277204818,-0.03639463828143,0.0511780336090597,0.00473450554925878,0.0518123375991217,-0.135626349125492,0.0395017636185642,-0.0296759229415726,0.0600910963866647
"white_cell_counts_BloodRoutine",0.00134290921008954,-0.0186983814304056,0.0331927499727344,0.0434382200630895,0.0398407758019067,0.0235026226250921,-0.041640185681402,-0.0681991741248531,0.0434668582520484,-0.0237135334619113,-0.00896292302995108,-0.0290763506079476,0.00569784272458748,-0.0224068671680347,-0.0279844980765844,0.00178298875062838,-0.0796468832679921,-0.00452318729001938,-0.0210363439951975,0.0139107790672748
"neutrophilic_granulocyte_percent_BloodRoutine",-0.0110599867876453,-0.0364438446366151,0.0101787882532455,0.0214602525732999,1.77233904104358e-05,-0.00565843339565253,-0.0176192150421248,-0.014479667166722,0.0333968841869328,-0.0313116842249396,0.00895814003957744,0.0195643577445927,0.0137944395793949,0.011149982972032,0.00416551150031347,-0.0744250433627951,-0.0465874078518804,0.0323639465428138,-0.037363942057259,-0.0475360780199497
"Lymphocyte_percentage_BloodRoutine",0.0462578791852878,0.0406165002607929,0.0145620050856055,-0.022383765536929,-0.0267760797533701,0.0114093569328527,0.0297249880397478,0.0136068398300002,-0.0333661163074739,0.047111544805098,0.0108196241371509,-0.0387966526821485,0.0198930978077033,-0.0123138660102286,-0.00401610656987583,0.0605069448821383,0.0344941254971647,-0.0212083915102611,0.0628443986360134,0.041710121500601
"blood_platelet_count_BloodRoutine",0.000697532654869281,0.0156283608928821,0.0072718098047086,0.0896014923358994,0.144846705781155,0.0610147781408171,0.0160825964208834,0.0212041218382148,0.0910718085550254,0.0631316469482967,0.0293682638706621,-0.10517831320866,-0.0227637898097179,0.00368045059409249,-0.0237382053183841,-0.0371288737361036,-0.0703014151226396,0.163075744599197,-0.0157945399053271,0.0750785465063338
"birth_weight_OffspringRelated",0.0370940109761884,-0.0210177448233879,-0.0145673656255631,0.0441576917246872,-0.00606440815436278,-0.0711293190927517,-0.0693780875636296,0.033430537230966,-0.0557597718171208,-0.0771335951013263,-0.0801169187615625,0.0149966494723251,0.0728493662856509,0.07247273669642,0.0875596822065761,0.0305569282618988,-0.0461461566181334,0.00948436613743852,0.00475726853520605,-0.000615016064930578
"birth_length_OffspringRelated",0.0204579735413512,-0.0247686208976112,-0.0104916657786891,0.0170692041933234,-0.0212450747853923,-0.00320219315039017,-0.0274374972299031,0.0401827003072402,-0.0356730186110396,-0.0358402348708841,-0.0228930143314454,0.023266419821892,0.067706412097058,-0.0129644578825673,-0.000170837841187834,-0.0142475322722483,-0.0184783247250985,0.0400894172630104,0.0415176083782623,-0.0127617932103911
"LGA_OffspringRelated",-0.0101437375108471,-0.0200119309637414,-0.0130317035829934,0.0353644272300528,-0.0103834968309303,-0.0228864891303069,-0.048486013886724,0.0371857542051375,-0.0544799421298582,-0.0644703394142624,-0.0529029000450639,-0.00827750593493071,0.0160034170832843,0.061791742743798,0.0610818730720307,0.0382172626719598,-0.0221805860540771,0.0198468306975347,0.00618526921753152,0.0103077866536309
